gene,pooled_rho
TRA2A,-0.1126008257136794
EEPD1,0.1570279354594491
AOAH,-0.3222110014949653
ELMO1,-0.1166947289050585
PSMA2,0.1550667051931517
STK17A,-0.3200122304540532
COA1,-0.2375097193941281
BLVRA,0.2238787381556272
AEBP1,-0.2083479880379665
MYO1G,0.1993429423565191
IGFBP3,0.3906937789232536
HUS1,-0.1206688243759682
IKZF1,-0.2228773071064864
SEC61G,0.1405050723053355
VOPP1,0.1676402654931786
CHCHD2,0.2197182669913301
ZNF736,-0.1886276781797921
ZNF92,-0.1601391782031038
TPST1,-0.1466502843787242
RABGEF1,-0.1095778262109491
AUTS2,-0.3152878014348287
POM121,-0.2008650760066259
GTF2I,-0.1401314734635284
TRIM73,-0.145520985454189
RHBDD2,0.1573337563112079
TMEM120A,0.1279428143465896
MDH2,0.215248291630699
DMTF1,-0.1661241657154793
TMEM243,-0.2347078143445785
ABCB1,-0.2408473814732453
DBF4,-0.1228570393829242
SRI,0.294035309602827
AKAP9,-0.1343390311875882
ANKIB1,-0.1268900610323795
FAM133B,-0.1826438167332953
SLC25A13,-0.1530289588745746
LMTK2,-0.1371279617134484
TECPR1,-0.2832965661765044
TRRAP,-0.1274477568709944
ARPC1B,0.1801972460014129
ATP5MF,0.1246379373446317
ZKSCAN1,-0.1306510965953915
COPS6,0.1869854769629468
TSC22D4,0.2323465154269178
AGFG2,0.2185669717557724
MOSPD3,0.2382324605937783
GNB2,0.1582109075702728
TRIM56,-0.1021625600551099
ZNHIT1,0.1295470312664873
FIS1,-0.1155388774879617
POLR2J,0.1495240340434516
RASA4,-0.1573230573453456
PSMC2,0.1298930872019464
SRPK2,-0.167734330953338
CBLL1,-0.1045300534099946
NRCAM,-0.4158514033889571
PNPLA8,-0.1134951073787878
LRRN3,-0.4391469777130348
TMEM168,-0.1306623930726182
ING3,-0.1465197581739277
ZNF800,-0.1961010964751641
ARF5,0.1239175774640789
IMPDH1,0.1379176817254714
